china,korea
阻挠,[동사]가로막다.방해하다.
租赁,[동사]임차(賃借)하다.(세를주고)빌리다.임대(賃貸)하다.세를놓다.
阻拦,[동사]저지하다.방해하다.
钻研,[동사]깊이연구[탐구]하다.심혈을기울이다.
走私,[동사]밀수하다.
走漏,[동사](정보를)누설하다.밀수로탈세하다.일부가도난당하다.새다.
揍,[동사](사람을)때리다.치다.깨다.깨뜨리다.
自主,[동사]자주적이다.자주적으로한다.
资助,[동사](재물로)돕다.
注重,[동사]중시하다.중점을두다.
驻扎,[동사]주둔하다.주재하다.
铸造,[동사]주조하다.
注视,[동사](면밀하게)주시하다.주의깊게살피다.주목하다.
注射,[동사]주사하다.
着重,[동사]힘을주다.강조하다.
着想,[동사]생각하다.고려하다.
着手,[동사]착수하다.시작하다.
追究,[동사](원인·연유를)추궁하다.따지다.(원인·책임등을)규명하다.
追悼,[동사](죽은자를)추모하다.추도하다.
主办,[동사]주최하다.
转折,[동사]방향이바뀌다.전환하다.전환하다.
转移,[동사](방향이나위치를)전이하다.옮기다.바꾸다.변경하다.
转让,[동사](재물이나권리를)양도하다.넘겨주다.
装卸,[동사]조립하고해체하다.싣고부리다.하역하다.
转达,[동사]전하다.전달하다.
拽,[동사]잡아당기다[끌다].세차게끌다.
拄,[동사](지팡이로)몸을지탱하다.짚다.
周转,[동사]돌리다.융통하다.(자금을)회전시키다.
终止,[동사]마치다.정지하다.
中断,[동사]중단하다.중단되다.
制止,[동사]제지[저지]하다.
指责,[동사]지적하다.질책하다.
制约,[동사]제약하다.
支援,[동사]지원하다.
致使,[동사]…를초래하다.…를야기하다.
支配,[동사]안배하다.분배하다.지배하다.통제하다.
滞留,[동사]…에머물다[체류하다].
治理,[동사]통치하다.다스리다.정비하다.수리하다.
指定,[동사]지정하다.확정하다.
致辞,[동사](의식이나집회에서)인사말을하다.축사를하다.
支撑,[동사]버티다.받치다.견디다.지탱하다.
制裁,[동사]제재하다.
直播,[동사]직파하다.직접파종하다.생중계하다.직접중계하다.
值班,[동사]당번이되다.당직을맡다.
折腾,[동사](육체적·정신적으로)고통스럽게하다.구박하다.잠자리에서몸을이리저리뒤척이다.엎치락뒤치락하다.반복하다.되풀이하다.
斟酌,[동사]헤아리다.짐작하다.
振兴,[동사]진흥시키다.
镇静,[형용사]냉정하다.침착하다.[동사]진정하다.마음을가라앉히다.
震惊,[형용사]깜짝놀라게하다.경악하게하다.[동사]놀라게하다.
挣扎,[동사]발버둥치다.몸부림치다.
珍贵,[형용사]진귀하다.귀중하다.[동사]아끼고사랑하다.진귀하게여기다.
征收,[동사](공출미나세금을)징수하다.
证实,[동사]실증하다.사실을증명하다.
争气,[동사]잘하려고애쓰다.지지않으려고애쓰다.명예를[체면을]세우다.
征服,[동사]정복하다.굴복시키다.정복하다.극복하다.마음을사로잡다.매혹[매료]시키다.
